Scientific Name	Common Name	Species Code	Population Code	Lead Region	Federal Listing Status	Where Listed
Castor fiber birulai	Beaver (Mongolian)	A04R	V01	Foreign	Endangered	Entire
Catesbaea melanocarpa	No common name	Q30M	P01	4	Endangered	
Catopuma (=Felis) temminckii	Asian golden (=Temmnick's) cat	A050	V01	Foreign	Endangered	Entire
Catostomus discobolus yarrowi	Zuni bluehead Sucker	E063	V01	2	Endangered	Entire
Catostomus santaanae	Santa Ana sucker	E07W	V01	8	Threatened	Los Angeles River basin, San Gabriel River basin, Santa Ana River basin
Catostomus warnerensis	Warner sucker	E057	V01	1	Threatened	Entire
Catreus wallichii	Cheer pheasant	B06J	V01	Foreign	Endangered	Entire
Caulanthus californicus	California jewelflower	Q2Y8	P01	8	Endangered	
Ceanothus ferrisae	Coyote ceanothus	Q1U3	P01	8	Endangered	
Ceanothus ophiochilus	Vail Lake ceanothus	Q3AH	P01	8	Threatened	
Ceanothus roderickii	Pine Hill ceanothus	Q0DK	P01	8	Endangered	
Cenchrus agrimonioides	Kamanomano	Q1U4	P01	1	Endangered	
Centaurium namophilum	Spring-loving centaury	Q1U5	P01	8	Threatened	
Centaurium sebaeoides	Awiwi	Q30Q	P01	1	Endangered	
Centrocercus minimus	Gunnison sage-grouse	B0B0	V01	6	Threatened	entire
Cephalophus jentinki	Jentink's duiker	A07I	V01	Foreign	Endangered	Entire
Ceratotherium simum cottoni	Northern white rhinoceros	A025	V01	Foreign	Endangered	Zaire, Uganda, Sudan, Central African Republic
Ceratotherium simum ssp. simum	Southern white rhinoceros	A0KU	V01	Foreign	Similarity of Appearance to a Threatened Taxon	Entire
Cercocarpus traskiae	Catalina Island mountain-mahogany	Q0DQ	P01	8	Endangered	
Cercocebus galeritus galeritus	Tana River mangabey	A01P	V01	Foreign	Endangered	Entire
Cercocebus torquatus	White-collared mangabey	A06P	V01	Foreign	Endangered	Entire
Cercopithecus diana	Diana monkey	A06T	V01	Foreign	Endangered	Entire
Cercopithecus erythrogaster	Red-bellied monkey	A06V	V01	Foreign	Endangered	Entire
Cercopithecus erythrotis	Red-eared nose-spotted monkey	A06W	V01	Foreign	Endangered	Entire
Cercopithecus lhoesti	L'hoest's monkey	A06U	V01	Foreign	Endangered	Entire
Cereus eriophorus var. fragrans	Fragrant prickly-apple	Q1U6	P01	4	Endangered	
Cervus alfredi	Visayan deer	A0FT	V01	Foreign	Endangered	Entire
Cervus duvauceli	Swamp deer	A00Y	V01	Foreign	Endangered	Entire
Cervus elaphus bactrianus	Bactrian deer	A053	V01	Foreign	Endangered	Entire
Cervus elaphus barbarus	Barbary stag	A067	V01	Foreign	Endangered	Entire
Cervus elaphus barbarus	Barbary deer	A054	V01	Foreign	Endangered	Entire
Cervus elaphus corsicanus	Corsican red deer	A07B	V01	Foreign	Endangered	Columbia River (Clark, Cowlitz, Pacific, Skamania, and Wahkiakum Counties, WA, and Clatsop, Columbia, and Multnomah Counties, OR)
Cervus elaphus hanglu	Kashmir stag	A02X	V01	Foreign	Endangered	Entire
Cervus elaphus macneilii	McNeill's deer	A00W	V01	Foreign	Endangered	Columbia River (Clark, Cowlitz, Pacific, Skamania, and Wahkiakum Counties, WA, and Clatsop, Columbia, and Multnomah Counties, OR)
Cervus elaphus wallichi	Shou	A02B	V01	Foreign	Endangered	Entire
Cervus elaphus yarkandensis	Yarkand deer	A07H	V01	Foreign	Endangered	Entire
Cervus eldi	Eld's brow-antlered Deer	A00U	V01	Foreign	Endangered	Columbia River (Clark, Cowlitz, Pacific, Skamania, and Wahkiakum Counties, WA, and Clatsop, Columbia, and Multnomah Counties, OR)
Cervus nippon grassianus	Shansi sika deer	A07F	V01	Foreign	Endangered	Entire
Cervus nippon keramae	Ryukyu sika deer	A07E	V01	Foreign	Endangered	Entire
Cervus nippon kopschi	South China sika deer	A07G	V01	Foreign	Endangered	Entire
Cervus nippon mandarinus	North China sika deer	A07D	V01	Foreign	Endangered	Entire
Cervus nippon taiouanus	Formosan sika deer	A07C	V01	Foreign	Endangered	Columbia River (Clark, Cowlitz, Pacific, Skamania, and Wahkiakum Counties, WA, and Clatsop, Columbia, and Multnomah Counties, OR)
Chaeropus ecaudatus	Pig-footed bandicoot	A030	V01	Foreign	Endangered	Entire
Chaetocercus berlepschi	Esmeraldas woodstar	B0BP	V01	Foreign	Endangered	Entire
Chaetomys subspinosus	Thin-spined porcupine	A021	V01	Foreign	Endangered	Brazil
Chamaecrista glandulosa var. mirabilis	No common name	Q26W	P01	4	Endangered	
Chamaesyce deltoidea ssp. deltoidea	Deltoid spurge	Q26X	P01	4	Endangered	
Chamaesyce garberi	Garber's spurge	Q1U9	P01	4	Threatened	
Chamaesyce hooveri	Hoover's spurge	Q0E9	P01	8	Threatened	
Charadrius alexandrinus nivosus	Western snowy plover	B07C	V01	8	Threatened	U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)
Charadrius melodus	Piping Plover	B079	V01	3	Endangered	Great Lakes watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)
Charadrius melodus	Piping Plover	B079	V02	5	Threatened	Entire, except those areas where listed as endangered above
Charpentiera densiflora	Papala	Q0EF	P01	1	Endangered	
Chasiempis ibidis	Oahu elepaio	B0AL	V01	1	Endangered	Entire
Chasmistes brevirostris	Shortnose Sucker	E055	V01	8	Endangered	Entire
Chasmistes cujus	Cui-ui	E001	V01	8	Endangered	Entire
Chasmistes liorus	June sucker	E050	V01	6	Endangered	Entire
Chelonia mydas	Green sea turtle	C00S	V03	1	Threatened	Central North Pacific DPS
Chelonia mydas	Green sea turtle	C00S	V04	1	Endangered	Central South Pacific DPS
Chelonia mydas	Green sea turtle	C00S	V05	1	Endangered	Central West Pacific DPS
Chelonia mydas	Green sea turtle	C00S	V06	Foreign	Threatened	East Indian-West Pacific DPS
Chelonia mydas	Green sea turtle	C00S	V07	Foreign	Endangered	Mediterranean DPS
Chelonia mydas	Green sea turtle	C00S	V08	Foreign	Threatened	North Indian DPS
Chelonia mydas	Green sea turtle	C00S	V09	Foreign	Threatened	Southwest Indian DPS
Chelonia mydas	Green sea turtle	C00S	V10	Foreign	Threatened	Southwest Pacific DPS
Chelonia mydas	Green sea turtle	C00S	V11	8	Threatened	East Pacific DPS
Chelonia mydas	Green sea turtle	C00S	V12	4	Threatened	North Atlantic DPS
Chelonia mydas	Green sea turtle	C00S	V13	4	Threatened	South Atlantic DPS
Chinchilla brevicaudata boliviana	Chinchilla	A052	V01	Foreign	Endangered	Entire
Chionanthus pygmaeus	Pygmy fringe-tree	Q26Y	P01	4	Endangered	
Chiropotes albinasus	White-nosed saki	A027	V01	Foreign	Endangered	Brazil
Chiropotes satanas satanas	Southern bearded saki	A0FN	V01	Foreign	Endangered	Brazil
Chlamyphorus truncatus	Pink fairy armadillo	A00L	V01	Foreign	Endangered	Entire
Chlorogalum purpureum	Purple amole	Q0ET	P01	8	Threatened	
Chondrohierax uncinatus mirus	Grenada hook-billed kite	B01Z	V01	Foreign	Endangered	Entire
Chondrohierax uncinatus wilsonii	Cuba hook-billed kite	B03U	V01	Foreign	Endangered	Entire
Chorizanthe howellii	Howell's spineflower	Q270	P01	8	Endangered	
Chorizanthe orcuttiana	Orcutt's spineflower	Q0EY	P01	8	Endangered	
Chorizanthe pungens var. hartwegiana	Ben Lomond spineflower	Q30Y	P01	8	Endangered	
Chorizanthe pungens var. pungens	Monterey spineflower	Q271	P01	8	Threatened	
Chorizanthe robusta var. hartwegii	Scotts Valley spineflower	Q3IB	P01	8	Endangered	Entire
Chorizanthe robusta var. robusta	Robust spineflower	Q3O7	P01	8	Endangered	Entire
Chorizanthe valida	Sonoma spineflower	Q1UF	P01	8	Endangered	
Chromolaena frustrata	Cape Sable Thoroughwort	Q3HJ	P01	4	Endangered	
Chrosomus saylori	Laurel dace	E0AR	V01	4	Endangered	Entire
Chrysocyon brachyurus	Maned wolf	A03U	V01	Foreign	Endangered	Entire
Chrysopsis floridana	Florida golden aster	Q272	P01	4	Endangered	
Cichlherminia iherminieri santaeluciae	St. Lucia Forest thrush	B0D4	V01	Foreign	Endangered	Entire
Cicindela dorsalis dorsalis	Northeastern beach tiger beetle	I02C	I01	5	Threatened	Entire
Cicindela nevadica lincolniana	Salt Creek Tiger beetle	I0QR	I01	6	Endangered	Entire
Cicindela ohlone	Ohlone tiger beetle	I0OW	I01	8	Endangered	Entire
Cicindela puritana	Puritan tiger beetle	I02D	I01	5	Threatened	Entire
Ciconia boyciana (=ciconia b.)	Oriental white stork	B03C	V01	Foreign	Endangered	Entire
Cicurina baronia	Robber Baron Cave Meshweaver	J01A	I01	2	Endangered	Entire
Cicurina madla	Madla's Cave Meshweaver	J019	I01	2	Endangered	Entire
Cicurina venii	Braken Bat Cave Meshweaver	J01D	I01	2	Endangered	Entire
Cicurina vespera	Government Canyon Bat Cave Meshweaver	J01B	I01	2	Endangered	Entire
Cinclocerthia ruficauda gutturalis	Martinique trembler (thrasher)	B03F	V01	Foreign	Endangered	Entire
Cinclodes aricomae	Royal cinclodes	B0BM	V01	Foreign	Endangered	Entire
Cirsium fontinale var. fontinale	Fountain thistle	Q1UH	P01	8	Endangered	
Cirsium fontinale var. obispoense	Chorro Creek bog thistle	Q1UG	P01	8	Endangered	
Cirsium hydrophilum var. hydrophilum	Suisun thistle	Q0FC	P01	8	Endangered	Entire
Cirsium loncholepis	La Graciosa thistle	Q0FE	P01	8	Endangered	
Cirsium pitcheri	Pitcher's thistle	Q276	P01	3	Threatened	
Cirsium vinaceum	Sacramento Mountains thistle	Q277	P01	2	Threatened	
Cladonia perforata	Florida perforate cladonia	U000	P01	4	Endangered	
Clarkia franciscana	Presidio clarkia	Q1UI	P01	8	Endangered	
Clarkia imbricata	Vine Hill clarkia	Q0FO	P01	8	Endangered	
Clarkia speciosa ssp. immaculata	Pismo clarkia	Q1UJ	P01	8	Endangered	
Clarkia springvillensis	Springville clarkia	Q2O6	P01	8	Threatened	
Clematis morefieldii	Morefield's leather flower	Q315	P01	4	Endangered	
Clematis socialis	Alabama leather flower	Q2SM	P01	4	Endangered	
Clemmys muhlenbergii	Bog (=Muhlenberg) turtle	C048	V01	5	Threatened	Entire, except GA, NC, SC, TN, VA
Clemmys muhlenbergii	Bog (=Muhlenberg) turtle	C048	V02	5	Similarity of Appearance to a Threatened Taxon	U.S.A. (GA, NC, SC, TN, VA)
Clermontia drepanomorpha	`Oha wai	Q0G6	P01	1	Endangered	
Clermontia lindseyana	`Oha wai	Q1UL	P01	1	Endangered	
Clermontia oblongifolia ssp. brevipes	`Oha wai	Q317	P01	1	Endangered	
Clermontia oblongifolia ssp. mauiensis	`Oha wai	Q318	P01	1	Endangered	
Clermontia peleana	`Oha wai	Q1UM	P01	1	Endangered	
Clermontia pyrularia	`Oha wai	Q1UN	P01	1	Endangered	
Clermontia samuelii	`Oha wai	Q3H1	P01	1	Endangered	
Clitoria fragrans	Pigeon wings	Q27C	P01	4	Threatened	
Cnemidophorus vanzoi	Maria Island ground lizard	C055	V01	Foreign	Endangered	Entire
Coccyzus americanus	Yellow-billed Cuckoo	B06R	V01	8	Threatened	Western DPS: U.S.A. (AZ, CA, CO (western), ID, MT (western), NM (western), NV, OR, TX (western), UT, WA, WY (western)); Canada (British Columbia (southwestern); Mexico (Baja California, Baja California Sur, Chihuahua, Durango (western), Sinaloa, Sonora)
Colinus virginianus ridgwayi	Masked bobwhite (quail)	B00Z	V01	2	Endangered	Entire
Colobus satanas	Black colobus monkey	A06R	V01	Foreign	Endangered	Entire
Colubrina oppositifolia	Kauila	Q1UO	P01	1	Endangered	
Columba inornata wetmorei	Puerto Rican plain Pigeon	B049	V01	4	Endangered	Entire
Columba junoniae	White-tailed laurel Pigeon	B0A1	V01	Foreign	Threatened	Entire
Columba mayeri	Pink pigeon	B0A0	V01	Foreign	Endangered	Entire
Columba palumbus azorica	Azores wood pigeon	B02Y	V01	Foreign	Endangered	Entire
Conolophus pallidus	Barrington land iguana	C00D	V01	Foreign	Endangered	Entire
Conradina brevifolia	Short-leaved rosemary	Q1UP	P01	4	Endangered	
Conradina etonia	Etonia rosemary	Q3AG	P01	4	Endangered	
Conradina glabra	Apalachicola rosemary	Q1UQ	P01	4	Endangered	
Conradina verticillata	Cumberland rosemary	Q1UR	P01	4	Threatened	
Conraua goliath	Goliath Frog	D02C	V01	Foreign	Threatened	Entire
Consolea corallicola	Florida semaphore Cactus	Q3HT	P01	4	Endangered	
Copsychus niger cebuensis	Cebu black shama (thrush)	B039	V01	Foreign	Endangered	Entire
Copsychus sechellarum	Seychelles magpie-robin (thrush)	B021	V01	Foreign	Endangered	Entire
Coquus newtoni	Reunion cuckoo-shrike	B018	V01	Foreign	Endangered	Entire
Coquus typicus	Mauritius cuckoo-shrike	B017	V01	Foreign	Endangered	Entire
Coracopsis nigra barklyi	Seychelles lesser vasa parrot	B09X	V01	Foreign	Endangered	Entire
Cordia bellonis	No common name	Q27F	P01	4	Endangered	
Cordylanthus maritimus ssp. maritimus	Salt marsh bird's-beak	Q1US	P01	8	Endangered	
Cordylanthus mollis ssp. mollis	Soft bird's-beak	Q0GT	P01	8	Endangered	Entire
Cordylanthus palmatus	Palmate-bracted bird's beak	Q1UT	P01	8	Endangered	
Cordylanthus tenuis ssp. capillaris	Pennell's bird's-beak	Q2O8	P01	8	Endangered	
Coreobagrus ichikawai	Nekogigi (catfish)	E00O	V01	Foreign	Endangered	Entire
Cornutia obovata	Palo de nigua	Q27I	P01	4	Endangered	
Corvus hawaiiensis	Hawaiian (='alala) Crow	B004	V01	1	Endangered	Entire
Corvus kubaryi	Mariana (=aga) Crow	B05X	V01	1	Endangered	Entire
Corvus leucognaphalus	White-necked crow	B08A	V01	4	Endangered	Entire
Corynorhinus (=Plecotus) townsendii ingens	Ozark big-eared bat	A075	V01	2	Endangered	Entire
Corynorhinus (=Plecotus) townsendii virginianus	Virginia big-eared bat	A080	V01	5	Endangered	Entire
Coryphantha minima	Nellie cory cactus	Q1UU	P01	2	Endangered	
Coryphantha ramillosa	Bunched cory cactus	Q1UV	P01	2	Threatened	
Coryphantha robbinsiorum	Cochise pincushion cactus	Q27L	P01	2	Threatened	
Coryphantha scheeri var. robustispina	Pima pineapple cactus	Q27M	P01	2	Endangered	
Coryphantha sneedii var. leei	Lee pincushion cactus	Q1UW	P01	2	Threatened	
Coryphantha sneedii var. sneedii	Sneed pincushion cactus	Q1UX	P01	2	Endangered	
Cotinga maculata	Banded cotinga	B04R	V01	Foreign	Endangered	Entire
Cottus paulus (=pygmaeus)	Pygmy Sculpin	E01L	V01	4	Threatened	Entire
Cottus specus	Grotto Sculpin	E0AC	V01	3	Endangered	Entire
Cranichis ricartii	No common name	Q3A8	P01	4	Endangered	
Craseonycteris thonglongyai	Bumblebee bat	A09X	V01	Foreign	Endangered	Entire
Crax alberti	Blue-billed curassow	B0BX	V01	Foreign	Endangered	Entire
Crax blumenbachii	Red-billed curassow	B040	V01	Foreign	Endangered	Entire
Crenichthys baileyi baileyi	White River springfish	E04U	V01	8	Endangered	Entire
Crenichthys baileyi grandis	Hiko White River springfish	E04Q	V01	8	Endangered	Entire
Crenichthys nevadae	Railroad Valley springfish	E04T	V01	8	Threatened	Entire
Crescentia portoricensis	Higuero de sierra	Q27R	P01	4	Endangered	
Crocodylus acutus	American crocodile	C02J	V01	4	Threatened	FL pop.
Crocodylus acutus	American crocodile	C02J	V02	Foreign	Endangered	Entire, except U.S.A. (FL)
Crocodylus cataphractus	African slender-snouted crocodile	C00Q	V01	Foreign	Endangered	Entire
Crocodylus intermedius	Orinoco crocodile	C008	V01	Foreign	Endangered	Entire
Crocodylus niloticus	Nile crocodile	C007	V01	Foreign	Threatened	Entire
Crocodylus novaeguineae mindorensis	Philippine crocodile	C014	V01	Foreign	Endangered	Entire
Crocodylus palustris kimbula	Ceylon mugger crocodile	C011	V01	Foreign	Endangered	Entire
Crocodylus palustris palustris	Mugger crocodile	C013	V01	Foreign	Endangered	Entire
Crocodylus porosus	Saltwater crocodile	C02K	V01	Foreign	Endangered	Entire, except Papua New Guinea and Australia
Crocodylus porosus	Saltwater crocodile	C02K	V02	Foreign	Threatened	Australia
Crocodylus rhombifer	Cuban crocodile	C005	V01	Foreign	Endangered	Entire
Crocodylus siamensis	Siamese crocodile	C015	V01	Foreign	Endangered	Entire
Crossoptilon crossoptilon	White eared pheasant	B042	V01	Foreign	Endangered	Entire
Crossoptilon mantchuricum	Brown eared pheasant	B02P	V01	Foreign	Endangered	Entire
Crotalaria avonensis	Avon Park harebells	Q31F	P01	4	Endangered	
Crotalus unicolor	Aruba Island rattlesnake	C035	V01	Foreign	Threatened	Entire
Crotalus willardi obscurus	New Mexican ridge-nosed rattlesnake	C01S	V01	2	Threatened	Entire
Cryptantha crassipes	Terlingua Creek cat's-eye	Q27U	P01	2	Endangered	
Cryptobranchus alleganiensis bishopi	Ozark Hellbender	D032	V01	3	Endangered	Entire
Crystallaria cincotta	diamond Darter	E014	V01	5	Endangered	Entire
Ctenitis squamigera	Pauoa	S01I	P01	1	Endangered	
Cucurbita okeechobeensis ssp. okeechobeensis	Okeechobee gourd	Q280	P01	4	Endangered	
Cumberlandia monodonta	Spectaclecase (mussel)	F00X	I01	3	Endangered	Entire
Cuon alpinus	Dhole	A00Z	V01	Foreign	Endangered	Entire
Cupressus abramsiana	Santa Cruz cypress	R005	P01	8	Threatened	Entire
Cupressus goveniana ssp. goveniana	Gowen cypress	R00A	P01	8	Threatened	
Cyanea acuminata	Haha	Q3GJ	P01	1	Endangered	
Cyanea asarifolia	Haha	Q31J	P01	1	Endangered	
Cyanea asplenifolia	Haha	Q1V0	P01	1	Endangered	
Cyanea calycina	Haha	Q1LP	P01	1	Endangered	
Cyanea copelandii ssp. copelandii	Haha	Q31K	P01	1	Endangered	
Cyanea copelandii ssp. haleakalaensis	Haha	Q3GV	P01	1	Endangered	
Cyanea crispa	haha	Q1V1	P01	1	Endangered	
Cyanea dolichopoda	Haha	Q3MS	P01	1	Endangered	
Cyanea dunbarii	Haha	Q31L	P01	1	Endangered	
Cyanea duvalliorum	haha	Q3NS	P01	1	Endangered	Entire
Cyanea eleeleensis	Haha	Q3HA	P01	1	Endangered	
Cyanea glabra	Haha	Q31M	P01	1	Endangered	
Cyanea grimesiana ssp. grimesiana	Haha	Q1V2	P01	1	Endangered	
Cyanea grimesiana ssp. obatae	Haha	Q2SR	P01	1	Endangered	
Cyanea hamatiflora ssp. carlsonii	Haha	Q2SS	P01	1	Endangered	
Cyanea hamatiflora ssp. hamatiflora	Haha	Q3GW	P01	1	Endangered	
Cyanea horrida	haha nui	Q3NT	P01	1	Endangered	Entire
Cyanea humboldtiana	Haha	Q0IN	P01	1	Endangered	
Cyanea kolekoleensis	Haha	Q3MT	P01	1	Endangered	
Cyanea koolauensis	Haha	Q3GP	P01	1	Endangered	
Cyanea kuhihewa	Haha	Q3H2	P01	1	Endangered	
Cyanea kunthiana	Haha	Q0IO	P01	1	Endangered	
Cyanea lanceolata	Haha	Q0IP	P01	1	Endangered	
Cyanea lobata	Haha	Q2ST	P01	1	Endangered	
Cyanea longiflora	Haha	Q3GQ	P01	1	Endangered	
Cyanea macrostegia ssp. gibsonii	Haha	Q2SU	P01	1	Endangered	
Cyanea magnicalyx	haha	Q3NU	P01	1	Endangered	Entire
Cyanea mannii	Haha	Q31P	P01	1	Endangered	
Cyanea maritae	haha	Q3NV	P01	1	Endangered	Entire
Cyanea marksii	Haha	Q0IS	P01	1	Endangered	Entire
Cyanea mauiensis	haha	Q3NW	P01	1	Endangered	Entire
Cyanea mceldowneyi	Haha	Q1V3	P01	1	Endangered	
Cyanea munroi	haha	Q3NX	P01	1	Endangered	Entire
Cyanea obtusa	Haha	Q31Q	P01	1	Endangered	
Cyanea pinnatifida	Haha	Q284	P01	1	Endangered	
Cyanea platyphylla	â€˜akuâ€˜aku	Q285	P01	1	Endangered	
Cyanea procera	Haha	Q31S	P01	1	Endangered	
Cyanea profuga	No common name	Q31T	P01	1	Endangered	Entire
Cyanea purpurellifolia	No common name	Q1LR	P01	1	Endangered	
Cyanea recta	Haha	Q31V	P01	1	Threatened	
Cyanea remyi	Haha	Q3GK	P01	1	Endangered	
Cyanea rivularis	Haha	Q0LV	P01	1	Endangered	
Cyanea shipmanii	Haha	Q1V4	P01	1	Endangered	
Cyanea solanacea	Popolo	Q0IV	P01	1	Endangered	Entire
Cyanea st.-johnii	Haha	Q1V5	P01	1	Endangered	
Cyanea stictophylla	Haha	Q286	P01	1	Endangered	
Cyanea superba	Haha	Q1V6	P01	1	Endangered	
Cyanea tritomantha	`aku	Q0IX	P01	1	Endangered	
Cyanea truncata	Haha	Q31W	P01	1	Endangered	
Cyanea undulata	Haha	Q31X	P01	1	Endangered	
Cyanopsitta spixii	Little blue macaw	B058	V01	Foreign	Endangered	Entire
Cyanoramphus auriceps forbesi	Forbes' parakeet	B02A	V01	Foreign	Endangered	Entire
Cyanoramphus cookii (=novaezelandiae c.)	Norfolk Island parakeet	B06G	V01	Foreign	Endangered	Entire
Cyathea dryopteroides	Elfin tree fern	S01J	P01	4	Endangered	
Cycas micronesica	Fadang	R00P	P01	1	Threatened	Entire
Cycladenia humilis var. jonesii	Jones Cycladenia	Q1V7	P01	6	Threatened	
Cyclargus (=Hemiargus) thomasi bethunebakeri	Miami Blue Butterfly	I02Q	I01	4	Endangered	Entire
Cyclargus ammon	Nickerbean Blue Butterfly	I0W6	I01	4	Similarity of Appearance to a Threatened Taxon	Entire
Cyclura carinata bartschi	Mayaguana iguana	C030	V01	Foreign	Threatened	Entire
Cyclura carinata carinata	Turks and Caicos iguana	C031	V01	Foreign	Threatened	Entire
Cyclura collei	Jamaican iguana	C02Z	V01	Foreign	Endangered	Entire
Cyclura cychlura cychlura	Andros Island ground iguana	C02U	V01	Foreign	Threatened	Entire
Cyclura cychlura figginsi	Exuma Island iguana	C02X	V01	Foreign	Threatened	Entire
Cyclura cychlura inornata	Allen's Cay iguana	C02T	V01	Foreign	Threatened	Entire
Cyclura nubila caymanensis	Cayman Brac ground iguana	C02V	V01	Foreign	Threatened	Entire
Cyclura nubila lewisi	Grand Cayman ground iguana	C02Y	V01	Foreign	Endangered	Entire
Cyclura nubila nubila	Cuban ground iguana	C02W	V01	Foreign	Threatened	Entire
Cyclura pinguis	Anegada ground iguana	C00C	V01	Foreign	Endangered	Entire
Cyclura rileyi cristata	White Cay ground iguana	C033	V01	Foreign	Threatened	Entire
Cyclura rileyi nuchalis	Acklins ground iguana	C02S	V01	Foreign	Threatened	Entire
Cyclura rileyi rileyi	Watling Island ground iguana	C032	V01	Foreign	Endangered	Entire
Cyclura stejnegeri	Mona ground Iguana	C01R	V01	4	Threatened	Entire
Cynomys mexicanus	Mexican prairie dog	A022	V01	Foreign	Endangered	Mexico
Cynomys parvidens	Utah prairie dog	A04A	V01	6	Threatened	Entire
Cynoscion macdonaldi	Totoaba (seatrout or weakfish)	E01W	V01	Foreign	Endangered	Entire
Cyperus fauriei	No common name	Q35R	P01	1	Endangered	
Cyperus pennatiformis	No common name	Q2Q0	P01	1	Endangered	
Cyperus trachysanthos	Pu`uka`a	Q321	P01	1	Endangered	
Cyprinella caerulea	Blue shiner	E05Y	V01	4	Threatened	Entire
Cyprinella formosa	Beautiful shiner	E04B	V01	2	Threatened	Entire
Cyprinodon bovinus	Leon Springs pupfish	E023	V01	2	Endangered	Entire
Cyprinodon diabolis	Devils Hole pupfish	E009	V01	8	Endangered	Entire
Cyprinodon elegans	Comanche Springs pupfish	E008	V01	2	Endangered	Entire
Cyprinodon macularius	Desert pupfish	E044	V01	2	Endangered	Entire
Cyprinodon nevadensis mionectes	Ash Meadows Amargosa pupfish	E042	V01	8	Endangered	Entire
Cyprinodon nevadensis pectoralis	Warm Springs pupfish	E00W	V01	8	Endangered	Entire
Cyprinodon radiosus	Owens pupfish	E00A	V01	8	Endangered	Entire
Cyprogenia stegaria	Fanshell	F02H	I01	4	Endangered	Entire
Cyrtandra crenata	Ha`iwale	Q28B	P01	1	Endangered	
Cyrtandra cyaneoides	Mapele	Q322	P01	1	Endangered	
Cyrtandra dentata	Ha`iwale	Q0JV	P01	1	Endangered	
Cyrtandra ferripilosa	haiwale	Q3NY	P01	1	Endangered	Entire
Cyrtandra filipes	Ha`iwale	Q2SY	P01	1	Endangered	
Cyrtandra giffardii	Ha`iwale	Q28C	P01	1	Endangered	
Cyrtandra gracilis	No common name	Q28D	P01	1	Endangered	Entire
Cyrtandra kaulantha	Ha`iwale	Q0KJ	P01	1	Endangered	
Cyrtandra limahuliensis	Ha`iwale	Q326	P01	1	Threatened	
Cyrtandra munroi	Ha`iwale	Q28I	P01	1	Endangered	
Cyrtandra nanawaleensis	haiwale	Q3OB	P01	1	Endangered	Entire
Cyrtandra oenobarba	Ha`iwale	Q0KX	P01	1	Endangered	
Cyrtandra oxybapha	Ha`iwale	Q32A	P01	1	Endangered	
Cyrtandra paliku	Haiwale	Q3MU	P01	1	Endangered	
Cyrtandra polyantha	Ha`iwale	Q1V8	P01	1	Endangered	
Cyrtandra sessilis	Ha`iwale	Q32B	P01	1	Endangered	
Cyrtandra subumbellata	Ha`iwale	Q1V9	P01	1	Endangered	
Cyrtandra tintinnabula	Ha`iwale	Q32C	P01	1	Endangered	
Cyrtandra viridiflora	Ha`iwale	Q32D	P01	1	Endangered	
Cyrtandra wagneri	haiwale	Q3OC	P01	1	Endangered	Entire
Cyrtandra waiolani	No common name	Q0LK	P01	1	Endangered	Entire
Cyrtodactylus serpensinsula	Serpent Island gecko	C02R	V01	Foreign	Threatened	Entire
Cyrtonaias tampicoensis tecomatensis	Tampico pearlymussel	F00Z	I01	Foreign	Endangered	Entire
Cyrtonyx montezumae merriami	Merriam's Montezuma quail	B05K	V01	Foreign	Endangered	Entire
Dalea foliosa	Leafy prairie-clover	Q28M	P01	4	Endangered	
Dama mesopotamica (=dama m.)	Persian fallow deer	A00X	V01	Foreign	Endangered	Entire
Damaliscus pygarus (=dorcas) dorcas	Bontebok	A04T	V01	Foreign	Endangered	Entire
Daphnopsis hellerana	No common name	Q28N	P01	4	Endangered	
Dasyornis broadbenti littoralis	Western rufous bristlebird	B04Q	V01	Foreign	Endangered	Entire
Dasyornis longirostris (=brachypterus I.)	Western bristlebird	B010	V01	Foreign	Endangered	Entire
Dasyurus viverrinus	Eastern native-cat	A049	V01	Foreign	Endangered	Australia
Daubentonia madagascariensis	Aye-aye	A00P	V01	Foreign	Endangered	Entire
Deeringothamnus pulchellus	Beautiful pawpaw	Q28O	P01	4	Endangered	
Deeringothamnus rugelii	Rugel's pawpaw	Q28P	P01	4	Endangered	
Deinandra (=Hemizonia) conjugens	Otay tarplant	Q0YQ	P01	8	Threatened	
Deinandra increscens ssp. villosa	Gaviota Tarplant	Q340	P01	8	Endangered	
Delissea rhytidosperma	No common name	Q1VA	P01	1	Endangered	
Delissea subcordata	Oha	Q1VB	P01	1	Endangered	
Delissea undulata	No common name	Q0LX	P01	1	Endangered	
Delphinapterus leucas	beluga whale	A0K5	V01	NMFS	Endangered	Cook Inlet DPS — See 50 CFR 224.101
Delphinium bakeri	Baker's larkspur	Q0LZ	P01	8	Endangered	
Delphinium luteum	Yellow larkspur	Q0M2	P01	8	Endangered	
Delphinium variegatum ssp. kinkiense	San Clemente Island larkspur	Q1VC	P01	8	Endangered	
Deltistes luxatus	Lost River sucker	E052	V01	8	Endangered	Entire
Dendrobium guamense	No common name	Q3OV	P01	1	Threatened	Entire
Dendrogyra cylindricus	Pillar Coral	P002	I01	NMFS	Threatened	Entire
Dendroica chrysoparia	Golden-cheeked warbler (=wood)	B07W	V01	2	Endangered	Entire
