file	status	out
PDFs/060928.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/060928.txt
PDFs/060614.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/060614.txt
PDFs/061211.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/061211.txt
PDFs/070416.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/070416.txt
PDFs/070503.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/070503.txt
PDFs/070604_v3.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/070604_v3.txt
PDFs/060727a.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/060727a.txt
PDFs/070913b.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/070913b.txt
PDFs/070924_2.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/070924_2.txt
PDFs/071012.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/071012.txt
PDFs/071019.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/071019.txt
PDFs/060922a.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/060922a.txt
PDFs/081114.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/081114.txt
PDFs/081218.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/081218.txt
PDFs/081223.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/081223.txt
PDFs/090116.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/090116.txt
PDFs/070313b_with rvsd Figure 1.pdf	NOT_PDF	NA
PDFs/090903.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/090903.txt
PDFs/090922.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/090922.txt
PDFs/100330.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/100330.txt
PDFs/100505_Mexican Wollf Conservation Assessment_Final.pdf	NOT_PDF	NA
PDFs/070802.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/070802.txt
PDFs/100719.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/100719.txt
PDFs/100826.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/100826.txt
PDFs/20110104_SABM_recov_plan_FINAL.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/20110104_SABM_recov_plan_FINAL.txt
PDFs/20110722b_Pynes ground plum_RP_final_1.pdf	NOT_PDF	NA
PDFs/080213_1.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/080213_1.txt
PDFs/20130504_NAL AL Sturgeon Recovery Plan 05042013.pdf	NOT_PDF	NA
PDFs/2014 10 31  Three Mollusks final recovery plan.pdf	NOT_PDF	NA
PDFs/2015_07_16_Final RP_R_sevosa_08212015 (1).pdf	NOT_PDF	NA
PDFs/20151211_GGS Revised Draft Recovery Plan.pdf	NOT_PDF	NA
PDFs/090520.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/090520.txt
PDFs/20160329_atlantic_salmon_draft_recovery_plan.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/20160329_atlantic_salmon_draft_recovery_plan.txt
PDFs/_6.pdf	NOT_PDF	NA
PDFs/820114.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/820114.txt
PDFs/820216.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/820216.txt
PDFs/100426.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/100426.txt
PDFs/820701.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/820701.txt
PDFs/820802.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/820802.txt
PDFs/820812.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/820812.txt
PDFs/820915_1.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/820915_1.txt
PDFs/140903.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/140903.txt
PDFs/830509_1.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/830509_1.txt
PDFs/830509b.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/830509b.txt
PDFs/830614.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/830614.txt
PDFs/831121.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/831121.txt
PDFs/20140507 Carex lutea Recovery Plan Final.pdf	NOT_PDF	NA
PDFs/840119.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/840119.txt
PDFs/840126.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840126.txt
PDFs/840308.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840308.txt
PDFs/840322.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/840322.txt
PDFs/20160314_Final Behren's RP_signed.pdf	NOT_PDF	NA
PDFs/840329.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/840329.txt
PDFs/840330c.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/840330c.txt
PDFs/840419a.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/840419a.txt
PDFs/840419b.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840419b.txt
PDFs/820422.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/820422.txt
PDFs/840509.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/840509.txt
PDFs/840518.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840518.txt
PDFs/840628.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840628.txt
PDFs/840709b.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840709b.txt
PDFs/830128.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/830128.txt
PDFs/840709.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840709.txt
PDFs/840806.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840806.txt
PDFs/840822.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840822.txt
PDFs/840912.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840912.txt
PDFs/830923.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/830923.txt
PDFs/840921.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840921.txt
PDFs/840930b.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840930b.txt
PDFs/840930.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840930.txt
PDFs/841109.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/841109.txt
PDFs/840228.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/840228.txt
PDFs/850322.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/850322.txt
PDFs/850328a.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/850328a.txt
PDFs/850329b.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/850329b.txt
PDFs/850624.pdf	Embed	/home/jmalcom/data/NLP/recovery_plan/TXTs/850624.txt
PDFs/840330b.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/840330b.txt
PDFs/850702.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/850702.txt
PDFs/850927_w signature.pdf	NOT_PDF	NA
PDFs/850930.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/850930.txt
PDFs/851017.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/851017.txt
PDFs/840508.pdf	Embed	/home/jmalcom/data/NLP/recovery_plan/TXTs/840508.txt
PDFs/851226.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/851226.txt
PDFs/851231.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/851231.txt
PDFs/860204.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/860204.txt
PDFs/860321b.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/860321b.txt
PDFs/840709d.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/840709d.txt
PDFs/860327b.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/860327b.txt
PDFs/860414a.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/860414a.txt
PDFs/860414b.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/860414b.txt
PDFs/860414c.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/860414c.txt
PDFs/840920b.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/840920b.txt
PDFs/870318b.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/870318b.txt
PDFs/870721.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/870721.txt
PDFs/870731.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/870731.txt
PDFs/870924.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/870924.txt
PDFs/841010.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/841010.txt
PDFs/880729.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/880729.txt
PDFs/880817.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/880817.txt
PDFs/881006.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/881006.txt
PDFs/881110.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/881110.txt
PDFs/850329a.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/850329a.txt
PDFs/890717.pdf	Exist	/home/jmalcom/data/NLP/recovery_plan/TXTs/890717.txt
PDFs/890922.pdf	Embed	/home/jmalcom/data/NLP/recovery_plan/TXTs/890922.txt
PDFs/891114b.pdf	Embed	/home/jmalcom/data/NLP/recovery_plan/TXTs/891114b.txt
PDFs/891114c.pdf	Embed	/home/jmalcom/data/NLP/recovery_plan/TXTs/891114c.txt
PDFs/850911.pdf	OCR	/home/jmalcom/data/NLP/recovery_plan/TXTs/850911.txt
PDFs/891227.pdf	Embed	/home/jmalcom/data/NLP/recovery_plan/TXTs/891227.txt
PDFs/900108.pdf	Embed	/home/jmalcom/data/NLP/recovery_plan/TXTs/900108.txt
PDFs/900125.pdf	Embed	/home/jmalcom/data/NLP/recovery_plan/TXTs/900125.txt
